Customer Id,Total_Sales,Total_Profit,Avg_Profit,Orders,Loss_Making_Orders,Avg_Profit_Ratio,Profit_Margin_%
1,499.95,159.69,159.69,1,0,0.34,31.941194119411943
2,1819.73,208.74,20.874000000000002,10,2,0.073,11.47093250097542
3,3537.6800000000003,334.49,18.58277777777778,18,3,0.08611111111111111,9.455066597318016
4,1719.6299999999999,-439.97999999999996,-31.427142857142854,14,5,-0.12000000000000001,-25.585736466565486
5,1274.75,309.84999999999997,44.26428571428571,7,0,0.30142857142857143,24.306726809178265
6,3259.51,893.65,59.57666666666667,15,1,0.24333333333333332,27.416697601786773
7,5569.4800000000005,964.89,43.858636363636364,22,2,0.2340909090909091,17.324597628503916
8,3763.5,529.93,27.891052631578944,19,2,0.19526315789473683,14.080775873521986
9,3229.6800000000003,-383.88,-27.419999999999998,14,5,-0.18785714285714286,-11.886007282455227
10,1264.79,-151.21999999999997,-18.902499999999996,8,3,-0.14625,-11.956135010555109
11,2429.65,294.92,24.576666666666668,12,4,0.14333333333333334,12.138373839853477
12,6009.35,899.1,32.11071428571429,28,4,0.09678571428571428,14.961684707996707
13,3185.62,882.26,55.14125,16,0,0.3025,27.695079764692586
14,2414.7200000000003,127.28,9.79076923076923,13,4,-0.03384615384615385,5.271004505698382
15,239.98000000000002,69.46000000000001,23.153333333333336,3,1,0.25333333333333335,28.944078673222766
16,2349.77,708.9,41.699999999999996,17,1,0.32235294117647056,30.168910148652845
17,4259.66,541.35,31.844117647058823,17,3,0.14529411764705882,12.708760793114946
18,3519.6,407.06,27.137333333333334,15,4,0.13266666666666665,11.565518808955563
19,4355.62,802.34,33.43083333333333,24,4,0.1920833333333333,18.420798875935
20,1589.77,-757.64,-126.27333333333333,6,4,-0.5916666666666667,-47.65720827541091
21,2836.69,815.59,47.97588235294118,17,0,0.3317647058823529,28.751467379234246
22,2744.6800000000003,823.9300000000001,51.495625000000004,16,0,0.3125,30.019164347027704
23,4141.38,961.1,48.055,20,3,0.2045,23.207240098711058
24,2769.47,509.59000000000003,33.97266666666667,15,2,0.20266666666666666,18.400271532098202
25,929.87,191.81,47.9525,4,1,0.1825,20.627614612795337
26,3209.8,568.65,43.74230769230769,13,1,0.19615384615384615,17.716057075207175
27,2065.66,597.1,54.28181818181818,11,1,0.30454545454545456,28.906015510781064
28,2159.76,255.16,36.45142857142857,7,2,0.11571428571428573,11.814275660258545
29,1329.87,-206.62000000000003,-41.324000000000005,5,3,0.03600000000000001,-15.536856986021194
30,1105.89,-47.18000000000001,-5.897500000000001,8,1,0.1025,-4.2662470950998745
31,3774.55,867.97,36.165416666666665,24,2,0.245,22.995323945900836
32,3409.51,846.05,49.76764705882353,17,1,0.33,24.8144161477749
33,1229.8700000000001,405.13,81.026,5,1,0.22400000000000003,32.94087993039914
34,2989.6800000000003,468.0,29.25,16,1,0.23124999999999998,15.65384924139038
35,2313.82,-516.76,-39.75076923076923,13,5,-0.1715384615384615,-22.33363010087215
36,1389.88,243.2,40.53333333333333,6,0,0.18833333333333332,17.497913488934294
37,1329.76,372.5,37.25,10,2,0.196,28.012573697509325
38,2649.74,84.13999999999997,5.258749999999998,16,4,0.114375,3.175405888879663
39,2934.7000000000003,-170.24999999999997,-10.01470588235294,17,5,-0.04117647058823531,-5.801274406242545
40,5253.62,507.91,28.217222222222222,18,3,0.08388888888888889,9.66781000529159
41,2931.65,943.73,78.64416666666666,12,0,0.3558333333333333,32.191086930568105
42,3289.66,560.08,31.11555555555556,18,2,0.23888888888888887,17.025467677510747
43,1159.83,-209.41,-34.901666666666664,6,3,-0.27166666666666667,-18.05523223230991
44,2989.7400000000002,133.78,8.36125,16,2,0.030625000000000003,4.47463659047275
45,3329.7400000000002,482.78999999999996,32.186,15,3,0.08666666666666667,14.499330278039723
46,3887.62,183.85999999999999,9.676842105263157,19,5,0.10052631578947367,4.7293716978511275
47,679.96,-139.29,-46.43,3,1,-0.09999999999999999,-20.485028531090062
48,3509.62,228.63,15.241999999999999,15,3,0.07266666666666667,6.514380474239377
49,1359.78,19.729999999999993,2.466249999999999,8,2,0.042499999999999996,1.4509700098545348
50,2009.65,-46.61,-3.585384615384615,13,2,0.0030769230769230743,-2.3193093324708283
51,4513.43,1070.74,53.537,20,1,0.27199999999999996,23.723420990244666
52,2119.77,273.67,30.40777777777778,9,3,0.12444444444444445,12.910362916731533
53,4689.4800000000005,986.9300000000001,54.82944444444445,18,2,0.22555555555555554,21.04561699804669
54,3109.6800000000003,762.8,44.870588235294115,17,1,0.2823529411764706,24.52985516194592
55,4763.400000000001,645.65,29.347727272727273,22,6,0.0659090909090909,13.554393920309021
56,2529.7,404.15000000000003,26.943333333333335,15,3,0.228,15.976202711784007
57,2159.7,-534.9599999999999,-44.57999999999999,12,4,-0.3316666666666666,-24.770106959299902
58,6615.16,-384.57,-14.791153846153845,26,8,-0.18307692307692308,-5.813464829270947
59,1869.75,272.57,27.256999999999998,10,2,0.21600000000000003,14.577884743949726
60,1859.57,519.1800000000001,51.918000000000006,10,0,0.261,27.919357700973883
61,1714.75,419.01,46.556666666666665,9,1,0.23222222222222222,24.43563201632891
62,1749.8300000000002,548.6,54.86,10,0,0.313,31.351617014224235
63,1829.79,446.61,44.661,10,0,0.284,24.407718918564427
64,1404.8700000000001,276.95,39.56428571428571,7,1,0.20714285714285713,19.71356780342665
65,3975.62,637.75,33.56578947368421,19,5,0.17421052631578948,16.041523083192054
66,3809.54,527.39,27.757368421052632,19,2,0.14684210526315788,13.843928663303181
67,1887.77,459.73,57.46625,8,2,0.2525,24.353072673048096
68,1609.79,349.68,38.85333333333333,9,1,0.14888888888888888,21.722087974207817
69,1651.81,430.96,30.782857142857143,14,2,0.2942857142857143,26.09016775537138
70,3309.4900000000002,591.52,32.86222222222222,18,2,0.11722222222222221,17.87344877911702
71,2987.73,71.53999999999999,3.7652631578947364,19,3,0.14947368421052631,2.3944600080997946
72,5274.530000000001,726.46,34.593333333333334,21,4,0.10142857142857142,13.77298072055709
73,2719.73,-311.45,-23.957692307692305,13,4,-0.07846153846153846,-11.451504377272743
74,3349.56,129.82,7.212222222222222,18,4,-0.027777777777777766,3.8757329320866023
75,2549.77,-594.9,-66.1,9,4,-0.1611111111111111,-23.33151617596881
76,3329.65,773.11,45.47705882352941,17,1,0.25,23.218956947426904
77,3142.7200000000003,947.0,63.13333333333333,15,1,0.3206666666666667,30.133133082170854
78,309.96000000000004,86.96000000000001,43.480000000000004,2,0,0.28,28.055232933281715
79,3674.6800000000003,871.34,48.40777777777778,18,1,0.24055555555555555,23.711996690868318
80,2259.78,-303.26,-27.569090909090907,11,4,0.0018181818181818349,-13.419890431811945
81,431.97,-69.62,-34.81,2,1,0.05500000000000001,-16.116859967127347
82,2674.54,91.28,6.085333333333334,15,5,-0.08666666666666668,3.4129233438273494
83,2879.6,565.88,35.3675,16,1,0.2,19.651340463953325
84,2929.7400000000002,800.99,61.614615384615384,13,1,0.2723076923076923,27.339968734426947
85,1929.7,329.57,32.957,10,2,0.20600000000000002,17.07882054205317
86,1469.8700000000001,409.36,45.48444444444445,9,0,0.3566666666666667,27.85008198003905
87,2474.69,392.4,32.699999999999996,12,1,0.1758333333333333,15.856531525160724
88,2499.6800000000003,357.46,22.34125,16,2,0.159375,14.300230429494972
89,1299.76,80.61000000000003,8.95666666666667,9,2,0.05666666666666667,6.201914199544534
90,3094.81,507.77,31.735625,16,2,0.12187500000000001,16.407146157599335
91,3343.73,391.18,23.01058823529412,17,1,0.14588235294117646,11.698911096290669
92,2787.55,-89.78999999999999,-5.6118749999999995,16,4,0.039999999999999994,-3.2211081415579983
93,2069.84,-55.43000000000001,-4.6191666666666675,12,5,-0.13333333333333333,-2.6779847717697987
94,2789.59,-24.750000000000036,-1.5468750000000022,16,1,0.13625,-0.8872271552450373
95,3282.63,665.18,33.259,20,2,0.1965,20.26363007710281
96,2789.7200000000003,392.90999999999997,32.7425,12,3,0.15166666666666667,14.084209167945167
97,2514.8,112.26999999999998,10.206363636363635,11,3,-0.04181818181818184,4.464370924129154
98,4379.4800000000005,-269.59000000000003,-11.721304347826088,23,6,0.027391304347826086,-6.155753651118398
99,2839.7000000000003,487.12,28.654117647058825,17,3,0.18941176470588234,17.153924710356726
100,4104.57,404.11,21.268947368421053,19,5,0.0731578947368421,9.845367480637437
101,2079.79,374.62,46.8275,8,3,0.1325,18.012395482236187
102,3319.59,893.11,55.819375,16,0,0.3075,26.904226124310533
103,3179.71,378.84,25.255999999999997,15,3,0.18733333333333332,11.914294070842937
104,599.96,-928.06,-464.03,2,2,-1.65,-154.6869791319421
105,1379.92,-368.03000000000003,-52.57571428571429,7,4,-0.25,-26.670386689083426
106,1409.8400000000001,-173.98999999999998,-21.748749999999998,8,4,-0.14375000000000002,-12.341116722464958
107,2009.63,603.61,54.873636363636365,11,1,0.29545454545454547,30.035877251036258
108,2289.7000000000003,482.91,43.900909090909096,11,1,0.2918181818181818,21.090535878062628
109,4259.61,350.12,16.67238095238095,21,5,0.08761904761904761,8.219531835074104
110,2639.7,-455.11,-41.373636363636365,11,5,-0.05909090909090908,-17.240974353146193
111,1639.7800000000002,20.02000000000004,2.8600000000000056,7,1,0.08428571428571427,1.2208954859798287
112,3184.6800000000003,671.4300000000001,44.76200000000001,15,1,0.18933333333333333,21.083122951128527
113,1658.75,473.69,52.632222222222225,9,0,0.32333333333333336,28.55704596834966
114,2904.73,319.65999999999997,26.638333333333332,12,2,0.13333333333333333,11.004809397086818
115,1079.92,269.86,67.465,4,0,0.2625,24.98888806578265
116,324.95,-51.45,-17.150000000000002,3,2,-0.04666666666666667,-15.833205108478229
117,429.9,4.73,1.1825,4,1,-0.007500000000000007,1.100255873458944
118,2699.51,-378.66999999999996,-25.244666666666664,15,7,-0.21333333333333335,-14.027360520983434
119,3439.7400000000002,621.47,34.52611111111111,18,3,0.19777777777777777,18.067353927913153
120,2079.58,97.23000000000002,6.945000000000001,14,4,0.07642857142857142,4.675463314707779
121,809.85,294.77,58.95399999999999,5,0,0.376,36.398098413286405
122,1996.75,58.08,5.28,11,2,0.060909090909090906,2.9087266808563914
123,6389.320000000001,1047.29,31.736060606060605,33,1,0.24181818181818182,16.391259163729472
124,3399.7400000000002,714.75,42.044117647058826,17,2,0.2652941176470588,21.023666515674726
125,2056.62,677.88,61.625454545454545,11,0,0.35818181818181816,32.96087755637892
126,2569.71,295.79,22.753076923076925,13,3,0.15615384615384614,11.510637387098157
127,1459.73,244.29000000000002,27.143333333333334,9,2,0.08222222222222222,16.73528666260199
128,449.89,62.05,31.025,2,0,0.14,13.792260330302963
129,2877.7200000000003,918.3299999999999,83.48454545454545,11,0,0.3654545454545454,31.91172177974229
130,779.95,294.66,73.665,4,0,0.4025,37.779344829796784
131,1623.71,277.91,25.264545454545456,11,2,0.18454545454545454,17.115741111405363
132,1479.8200000000002,360.92,45.115,8,0,0.26625,24.389452771282993
133,1759.72,-199.0,-16.583333333333332,12,4,-0.030833333333333324,-11.30861728002182
134,2625.66,486.38,40.531666666666666,12,2,0.21333333333333335,18.524104415651685
135,299.98,-60.0,-60.0,1,1,-0.2,-20.00133342222815
136,1614.83,188.98,20.997777777777777,9,3,0.02555555555555556,11.702779859180223
137,2849.62,-200.24,-11.778823529411765,17,3,0.03117647058823528,-7.026901832525039
138,2419.8,-69.36000000000001,-5.780000000000001,12,5,-0.037500000000000006,-2.866352591123234
139,3589.59,500.57000000000005,29.445294117647062,17,2,0.1623529411764706,13.945046648781616
140,4699.43,520.26,23.64818181818182,22,4,0.13363636363636366,11.070704319460019
141,3979.59,-312.69999999999993,-15.634999999999996,20,7,0.004499999999999993,-7.857593370171297
142,5625.47,-1189.73,-51.727391304347826,23,10,-0.2673913043478261,-21.14898844007701
143,749.89,187.03,62.343333333333334,3,0,0.2966666666666667,24.940991345397325
144,979.95,353.79,58.965,6,0,0.4066666666666667,36.10286239093831
145,2445.66,715.5799999999999,47.70533333333333,15,0,0.3266666666666667,29.25917748174317
146,2329.6400000000003,723.54,55.65692307692307,13,1,0.32,31.05801754777562
147,249.9,116.33,116.33,1,0,0.49,46.550620248099236
148,2009.73,195.56,21.72888888888889,9,2,0.11555555555555556,9.730660337458266
149,3249.73,-33.11999999999999,-2.365714285714285,14,3,0.08714285714285716,-1.0191615918860948
150,2629.77,745.9300000000001,53.28071428571429,14,1,0.275,28.36483798963408
151,2525.79,524.84,43.73666666666667,12,1,0.1925,20.779241346271863
152,1709.71,454.03000000000003,64.86142857142858,7,0,0.29714285714285715,26.555965631598344
153,1269.9,185.57999999999998,30.929999999999996,6,1,0.024999999999999984,14.61374911410347
154,6889.360000000001,1363.5,45.45,30,3,0.21200000000000002,19.791388459885965
155,2389.73,-350.85999999999996,-26.989230769230765,13,4,0.030000000000000002,-14.68199336326698
156,1939.79,642.35,80.29375,8,0,0.35875,33.11440929172746
157,2206.83,471.41,36.262307692307694,13,4,0.20076923076923076,21.361409805014432
158,729.9,72.06,14.412,5,2,0.06399999999999999,9.872585285655571
159,1289.88,267.42,33.4275,8,1,0.08625,20.732161131268022
160,2139.82,-483.1000000000001,-43.91818181818183,11,4,-0.1881818181818182,-22.576665326990124
